ID Cliente,Churn,gênero,idoso,Parceiro,Dependentes,Meses contrato,Serviço telefone,Linhas multiplas,Serviço Internet,Segurança Online,Backup Online,Dispositivo_Proteção,Suporte Técnico,Tv Streaming,Filmes Streaming,Contrato,Conta Papel,Método pagamento,Cobrança Mensal,Cobrança Total,Cobrança diária
0017-IUDMW,Não,Mulher,Não,Sim,Sim,72,Sim,Sim,Fibra óptica,Sim,Sim,Sim,Sim,Sim,Sim,Dois anos,Sim,Cartão de Crédito,116.8,8456.75,3.893333333333333
0018-NYROU,Não,Mulher,Não,Sim,Não,5,Sim,Não,Fibra óptica,Não,Não,Não,Não,Não,Não,Mês a mês,Sim,Eletrônico,68.95,351.5,2.2983333333333333
0019-EFAEP,Não,Mulher,Não,Não,Não,72,Sim,Sim,Fibra óptica,Sim,Sim,Sim,Não,Sim,Não,Dois anos,Sim,Transferência Bancária,101.3,7261.25,3.3766666666666665
0019-GFNTW,Não,Mulher,Não,Não,Não,56,Não,Sem serviço,DSL,Sim,Sim,Sim,Sim,Não,Não,Dois anos,Não,Transferência Bancária,45.05,2560.1,1.5016666666666665
0020-INWCK,Não,Mulher,Não,Sim,Sim,71,Sim,Sim,Fibra óptica,Não,Sim,Sim,Não,Não,Sim,Dois anos,Sim,Cartão de Crédito,95.75,6849.4,3.191666666666667
0020-JDNXP,Não,Mulher,Não,Sim,Sim,34,Não,Sem serviço,DSL,Sim,Não,Sim,Sim,Sim,Sim,Um ano,Não,Correspondência,61.25,1993.2,2.0416666666666665
0021-IKXGC,Não,Mulher,Sim,Não,Não,1,Sim,Sim,Fibra óptica,Não,Não,Não,Não,Não,Não,Mês a mês,Sim,Eletrônico,72.1,72.1,2.4033333333333333
0022-TCJCI,Sim,Homem,Sim,Não,Não,45,Sim,Não,DSL,Sim,Não,Sim,Não,Não,Sim,Um ano,Não,Cartão de Crédito,62.7,2791.5,2.0900000000000003
0023-HGHWL,Sim,Homem,Sim,Não,Não,1,Não,Sem serviço,DSL,Não,Não,Não,Não,Não,Não,Mês a mês,Sim,Eletrônico,25.1,25.1,0.8366666666666667
0023-UYUPN,Não,Mulher,Sim,Sim,Não,50,Sim,Sim,Não,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Um ano,Não,Eletrônico,25.2,1306.3,0.84
0023-XUOPT,Sim,Mulher,Não,Sim,Não,13,Sim,Sim,Fibra óptica,Não,Sim,Sim,Não,Sim,Não,Mês a mês,Não,Eletrônico,94.1,1215.6,3.1366666666666663
0027-KWYKW,Não,Mulher,Não,Sim,Sim,23,Sim,Sim,Fibra óptica,Não,Não,Não,Não,Sim,Não,Mês a mês,Sim,Eletrônico,83.75,1849.95,2.7916666666666665
0030-FNXPP,Não,Mulher,Não,Não,Não,3,Sim,Não,Não,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Mês a mês,Não,Correspondência,19.85,57.2,0.6616666666666667
0031-PVLZI,Sim,Mulher,Não,Sim,Sim,4,Sim,Não,Não,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Mês a mês,Não,Correspondência,20.35,76.35,0.6783333333333333
0032-PGELS,Sim,Mulher,Não,Sim,Sim,1,Não,Sem serviço,DSL,Sim,Não,Não,Não,Não,Não,Mês a mês,Não,Transferência Bancária,30.5,30.5,1.0166666666666666
0036-IHMOT,Não,Mulher,Não,Sim,Sim,55,Sim,Não,Fibra óptica,Não,Sim,Sim,Sim,Sim,Sim,Um ano,Sim,Transferência Bancária,103.7,5656.75,3.4566666666666666
0040-HALCW,Não,Homem,Não,Sim,Sim,54,Sim,Não,Não,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Dois anos,Não,Cartão de Crédito,20.4,1090.6,0.6799999999999999
0042-JVWOJ,Não,Homem,Não,Não,Não,26,Sim,Não,Não,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Um ano,Sim,Transferência Bancária,19.6,471.85,0.6533333333333334
0042-RLHYP,Não,Mulher,Não,Sim,Sim,69,Sim,Não,Não,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Dois anos,Não,Transferência Bancária,19.7,1396.9,0.6566666666666666
0048-LUMLS,Não,Homem,Não,Sim,Sim,37,Sim,Não,Fibra óptica,Não,Não,Não,Não,Sim,Sim,Um ano,Não,Cartão de Crédito,91.2,3247.55,3.04
0048-PIHNL,Não,Mulher,Não,Sim,Não,49,Sim,Não,Não,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Um ano,Não,Transferência Bancária,20.45,900.9,0.6816666666666666
0052-DCKON,Não,Homem,Não,Sim,Não,66,Sim,Sim,Fibra óptica,Sim,Sim,Sim,Sim,Sim,Sim,Um ano,Não,Transferência Bancária,115.8,7942.15,3.86
0052-YNYOT,Não,Mulher,Não,Não,Não,67,Sim,Não,Não,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Um ano,Não,Eletrônico,20.55,1343.4,0.685
0056-EPFBG,Não,Homem,Não,Sim,Sim,20,Não,Sem serviço,DSL,Sim,Não,Sim,Sim,Não,Não,Dois anos,Sim,Cartão de Crédito,39.4,825.4,1.3133333333333332
0057-QBUQH,Não,Mulher,Não,Não,Sim,43,Sim,Sim,Não,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Dois anos,Sim,Eletrônico,25.1,1070.15,0.8366666666666667
0058-EVZWM,Não,Mulher,Não,Sim,Não,55,Sim,Sim,Fibra óptica,Sim,Não,Não,Não,Sim,Não,Mês a mês,Sim,Transferência Bancária,89.8,4959.6,2.993333333333333
0060-FUALY,Não,Mulher,Não,Sim,Não,59,Sim,Sim,Fibra óptica,Sim,Sim,Não,Não,Sim,Não,Mês a mês,Sim,Eletrônico,94.75,5597.65,3.158333333333333
0064-SUDOG,Não,Mulher,Não,Sim,Sim,12,Sim,Não,Não,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Dois anos,Não,Transferência Bancária,20.3,224.5,0.6766666666666666
0064-YIJGF,Não,Homem,Não,Sim,Sim,27,Sim,Sim,Fibra óptica,Não,Não,Não,Não,Não,Não,Mês a mês,Sim,Transferência Bancária,75.75,1929.0,2.525
0067-DKWBL,Sim,Homem,Sim,Não,Não,2,Sim,Não,DSL,Sim,Não,Não,Não,Não,Não,Mês a mês,Sim,Eletrônico,49.25,91.1,1.6416666666666666
0068-FIGTF,Não,Mulher,Não,Não,Não,27,Sim,Não,DSL,Não,Sim,Sim,Sim,Sim,Sim,Um ano,Não,Correspondência,78.2,2078.95,2.606666666666667
0071-NDAFP,Não,Homem,Não,Sim,Sim,25,Sim,Sim,Não,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Dois anos,Não,Cartão de Crédito,25.5,630.6,0.85
0074-HDKDG,Não,Homem,Não,Sim,Sim,25,Sim,Não,DSL,Sim,Sim,Sim,Não,Não,Não,Um ano,Sim,Transferência Bancária,61.6,1611.0,2.0533333333333332
0076-LVEPS,Não,Homem,Não,Não,Sim,29,Não,Sem serviço,DSL,Sim,Sim,Sim,Sim,Não,Não,Mês a mês,Sim,Correspondência,45.0,1242.45,1.5
0078-XZMHT,Não,Homem,Não,Sim,Não,72,Sim,Sim,DSL,Não,Sim,Sim,Sim,Sim,Sim,Dois anos,Sim,Transferência Bancária,85.15,6316.2,2.8383333333333334
0080-EMYVY,Não,Mulher,Não,Não,Não,14,Sim,Não,DSL,Não,Sim,Não,Não,Não,Não,Um ano,Não,Cartão de Crédito,51.45,727.85,1.715
0080-OROZO,Não,Mulher,Não,Não,Não,35,Sim,Não,Fibra óptica,Não,Não,Sim,Sim,Sim,Sim,Um ano,Sim,Eletrônico,99.25,3532.0,3.308333333333333
0082-LDZUE,Não,Homem,Não,Não,Não,1,Sim,Não,DSL,Não,Não,Não,Não,Não,Não,Mês a mês,Sim,Correspondência,44.3,44.3,1.4766666666666666
0082-OQIQY,Não,Homem,Não,Não,Não,29,Sim,Não,Fibra óptica,Não,Não,Não,Sim,Sim,Sim,Mês a mês,Sim,Eletrônico,94.2,2607.6,3.14
0083-PIVIK,Não,Homem,Não,Não,Não,64,Sim,Sim,DSL,Sim,Sim,Sim,Sim,Sim,Não,Um ano,Não,Eletrônico,81.25,5567.55,2.7083333333333335
0089-IIQKO,Não,Mulher,Não,Sim,Sim,39,Sim,Sim,Fibra óptica,Não,Não,Não,Sim,Sim,Sim,Mês a mês,Sim,Cartão de Crédito,99.95,3767.4,3.3316666666666666
0093-EXYQL,Não,Mulher,Sim,Não,Não,40,Sim,Não,Fibra óptica,Não,Não,Não,Não,Sim,Sim,Mês a mês,Sim,Eletrônico,91.55,3673.6,3.0516666666666667
0093-XWZFY,Sim,Homem,Não,Não,Não,40,Sim,Sim,Fibra óptica,Não,Sim,Sim,Não,Sim,Sim,Mês a mês,Sim,Cartão de Crédito,104.5,4036.85,3.4833333333333334
0094-OIFMO,Sim,Mulher,Sim,Não,Não,11,Sim,Não,Fibra óptica,Não,Sim,Não,Não,Sim,Sim,Mês a mês,Sim,Eletrônico,95.0,1120.3,3.1666666666666665
0096-BXERS,Não,Mulher,Não,Sim,Não,6,Sim,Sim,DSL,Não,Não,Não,Não,Não,Não,Mês a mês,Não,Eletrônico,50.35,314.55,1.6783333333333335
0096-FCPUF,Não,Homem,Não,Não,Não,30,Sim,Sim,DSL,Sim,Não,Não,Não,Não,Sim,Mês a mês,Sim,Correspondência,64.5,1888.45,2.15
0098-BOWSO,Não,Homem,Não,Não,Não,27,Sim,Não,Não,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Mês a mês,Sim,Eletrônico,19.4,529.8,0.6466666666666666
0100-DUVFC,Não,Homem,Sim,Sim,Não,70,Sim,Sim,Fibra óptica,Não,Sim,Sim,Não,Sim,Sim,Um ano,Sim,Eletrônico,104.8,7308.95,3.493333333333333
0103-CSITQ,Não,Mulher,Não,Sim,Não,57,Sim,Sim,Fibra óptica,Não,Sim,Sim,Sim,Sim,Sim,Um ano,Sim,Transferência Bancária,109.4,6252.7,3.646666666666667
0104-PPXDV,Não,Homem,Não,Sim,Não,58,Sim,Não,DSL,Não,Não,Sim,Não,Não,Não,Um ano,Não,Cartão de Crédito,50.3,2878.55,1.6766666666666665
0106-GHRQR,Não,Homem,Não,Não,Não,16,Sim,Sim,DSL,Não,Sim,Sim,Não,Não,Sim,Mês a mês,Sim,Transferência Bancária,71.4,1212.1,2.3800000000000003
0106-UGRDO,Não,Mulher,Não,Sim,Não,69,Sim,Sim,Fibra óptica,Sim,Sim,Sim,Sim,Sim,Sim,Dois anos,Sim,Eletrônico,116.0,8182.85,3.8666666666666667
0107-WESLM,Sim,Homem,Não,Não,Não,1,Sim,Não,Não,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Mês a mês,Sim,Eletrônico,19.85,19.85,0.6616666666666667
0107-YHINA,Sim,Homem,Não,Não,Sim,1,Sim,Sim,Fibra óptica,Não,Não,Sim,Não,Sim,Sim,Mês a mês,Sim,Eletrônico,99.75,99.75,3.325
0111-KLBQG,Não,Homem,Sim,Sim,Sim,32,Sim,Não,Fibra óptica,Não,Sim,Não,Não,Sim,Sim,Mês a mês,Sim,Correspondência,93.95,2861.45,3.131666666666667
0112-QAWRZ,Não,Homem,Não,Sim,Sim,16,Sim,Sim,Fibra óptica,Não,Não,Sim,Não,Sim,Não,Mês a mês,Sim,Transferência Bancária,90.8,1442.2,3.0266666666666664
0112-QWPNC,Sim,Homem,Não,Sim,Não,49,Sim,Sim,DSL,Sim,Não,Sim,Sim,Sim,Sim,Um ano,Não,Eletrônico,84.35,4059.35,2.8116666666666665
0114-IGABW,Não,Mulher,Não,Sim,Não,71,Não,Sem serviço,DSL,Não,Sim,Sim,Sim,Sim,Sim,Dois anos,Não,Transferência Bancária,58.25,4145.9,1.9416666666666667
0114-PEGZZ,Não,Mulher,Não,Não,Não,33,Sim,Sim,Fibra óptica,Não,Sim,Sim,Não,Sim,Sim,Mês a mês,Não,Eletrônico,107.55,3645.5,3.585
0114-RSRRW,Não,Mulher,Não,Sim,Não,10,Sim,Não,Não,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Mês a mês,Sim,Transferência Bancária,19.95,187.75,0.6649999999999999
0115-TFERT,Sim,Homem,Não,Sim,Não,21,Sim,Sim,Fibra óptica,Não,Sim,Sim,Sim,Sim,Sim,Mês a mês,Sim,Eletrônico,111.2,2317.1,3.7066666666666666
0117-LFRMW,Sim,Homem,Não,Sim,Sim,37,Não,Sem serviço,DSL,Sim,Sim,Sim,Não,Não,Não,Mês a mês,Não,Transferência Bancária,40.2,1448.8,1.34
0118-JPNOY,Não,Mulher,Sim,Não,Não,26,Sim,Não,Fibra óptica,Sim,Não,Não,Não,Sim,Não,Mês a mês,Sim,Cartão de Crédito,85.8,2193.65,2.86
0121-SNYRK,Não,Homem,Não,Não,Não,50,Não,Sem serviço,DSL,Sim,Não,Não,Sim,Não,Não,Um ano,Sim,Correspondência,35.4,1748.9,1.18
0122-OAHPZ,Sim,Mulher,Não,Não,Não,7,Sim,Sim,Fibra óptica,Não,Não,Não,Não,Não,Não,Mês a mês,Sim,Eletrônico,73.85,511.25,2.4616666666666664
0123-CRBRT,Não,Mulher,Não,Sim,Sim,61,Sim,Sim,DSL,Sim,Sim,Sim,Sim,Sim,Sim,Dois anos,Não,Correspondência,88.1,5526.75,2.9366666666666665
0125-LZQXK,Sim,Homem,Não,Não,Não,15,Sim,Não,Fibra óptica,Não,Não,Sim,Sim,Sim,Sim,Mês a mês,Sim,Eletrônico,101.35,1553.95,3.378333333333333
0128-MKWSG,Não,Mulher,Não,Não,Sim,26,Não,Sem serviço,DSL,Sim,Não,Não,Sim,Não,Sim,Mês a mês,Não,Correspondência,45.8,1147.0,1.5266666666666666
0129-KPTWJ,Não,Homem,Não,Sim,Não,72,Sim,Não,Fibra óptica,Não,Não,Sim,Não,Sim,Sim,Mês a mês,Sim,Eletrônico,94.65,6747.35,3.1550000000000002
0129-QMPDR,Não,Homem,Não,Sim,Sim,44,Sim,Não,Não,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Um ano,Sim,Transferência Bancária,20.5,865.05,0.6833333333333333
0130-SXOUN,Não,Homem,Não,Não,Não,66,Sim,Sim,Fibra óptica,Não,Sim,Não,Não,Não,Sim,Mês a mês,Não,Cartão de Crédito,89.4,5976.9,2.98
0133-BMFZO,Sim,Mulher,Não,Não,Não,2,Sim,Não,Fibra óptica,Sim,Sim,Não,Sim,Não,Não,Mês a mês,Sim,Eletrônico,86.25,181.65,2.875
0134-XWXCE,Não,Mulher,Sim,Não,Não,44,Sim,Não,DSL,Não,Não,Sim,Sim,Sim,Sim,Um ano,Não,Transferência Bancária,74.85,3268.05,2.4949999999999997
0135-NMXAP,Sim,Mulher,Não,Não,Não,12,Sim,Sim,Fibra óptica,Não,Sim,Não,Não,Sim,Não,Mês a mês,Sim,Transferência Bancária,89.75,1052.4,2.9916666666666667
0136-IFMYD,Não,Homem,Sim,Sim,Não,69,Sim,Sim,Fibra óptica,Não,Sim,Sim,Sim,Sim,Sim,Dois anos,Sim,Eletrônico,109.95,7634.25,3.665
0137-OCGAB,Sim,Mulher,Não,Não,Não,1,Sim,Sim,Fibra óptica,Não,Sim,Não,Não,Não,Não,Mês a mês,Sim,Correspondência,80.2,80.2,2.6733333333333333
0137-UDEUO,Sim,Mulher,Não,Não,Não,3,Sim,Não,Não,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Mês a mês,Não,Correspondência,19.85,63.75,0.6616666666666667
0139-IVFJG,Não,Mulher,Não,Sim,Não,2,Sim,Não,Fibra óptica,Sim,Sim,Não,Não,Sim,Não,Mês a mês,Não,Eletrônico,90.35,190.5,3.0116666666666663
0141-YEAYS,Não,Mulher,Sim,Não,Não,27,Sim,Sim,Fibra óptica,Não,Sim,Sim,Não,Não,Não,Mês a mês,Sim,Transferência Bancária,86.45,2401.05,2.881666666666667
0142-GVYSN,Não,Homem,Não,Não,Não,26,Sim,Não,Não,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Mês a mês,Sim,Eletrônico,20.3,511.25,0.6766666666666666
0147-ESWWR,Não,Mulher,Sim,Sim,Não,39,Sim,Sim,Fibra óptica,Não,Não,Não,Sim,Sim,Sim,Mês a mês,Sim,Eletrônico,101.25,3949.15,3.375
0148-DCDOS,Sim,Homem,Não,Não,Não,25,Sim,Sim,Fibra óptica,Não,Não,Não,Não,Sim,Sim,Mês a mês,Sim,Transferência Bancária,94.7,2362.1,3.1566666666666667
0151-ONTOV,Sim,Mulher,Não,Não,Não,1,Sim,Não,Fibra óptica,Não,Não,Não,Não,Não,Não,Mês a mês,Não,Correspondência,70.9,70.9,2.3633333333333337
0156-FVPTA,Sim,Homem,Não,Sim,Não,22,Sim,Não,DSL,Sim,Não,Não,Sim,Não,Não,Mês a mês,Sim,Eletrônico,54.2,1152.7,1.8066666666666669
0164-APGRB,Não,Mulher,Não,Não,Não,72,Sim,Sim,Fibra óptica,Sim,Sim,Sim,Sim,Sim,Sim,Dois anos,Sim,Eletrônico,114.9,8496.7,3.83
0164-XAIRP,Não,Mulher,Não,Não,Não,24,Sim,Não,Não,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Dois anos,Sim,Transferência Bancária,19.55,470.2,0.6516666666666667
0168-XZKBB,Não,Mulher,Não,Sim,Não,19,Sim,Sim,Fibra óptica,Não,Não,Não,Não,Sim,Não,Mês a mês,Sim,Eletrônico,86.85,1564.4,2.895
0174-QRVVY,Não,Homem,Não,Sim,Sim,71,Sim,Sim,Não,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Dois anos,Não,Cartão de Crédito,25.35,1847.55,0.8450000000000001
0177-PXBAT,Não,Homem,Sim,Sim,Não,33,Sim,Sim,Fibra óptica,Sim,Não,Sim,Sim,Sim,Sim,Mês a mês,Sim,Transferência Bancária,109.9,3694.7,3.6633333333333336
0178-CIIKR,Não,Mulher,Não,Não,Não,3,Sim,Não,Não,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Mês a mês,Não,Correspondência,19.95,58.0,0.6649999999999999
0178-SZBHO,Não,Homem,Não,Sim,Sim,47,Sim,Sim,Fibra óptica,Não,Sim,Não,Não,Sim,Não,Mês a mês,Não,Eletrônico,87.2,4017.45,2.9066666666666667
0181-RITDD,Não,Homem,Não,Sim,Sim,62,Sim,Não,Fibra óptica,Sim,Sim,Sim,Sim,Sim,Sim,Dois anos,Não,Correspondência,108.15,6825.65,3.605
0186-CAERR,Não,Homem,Não,Não,Não,71,Sim,Sim,Fibra óptica,Sim,Sim,Sim,Sim,Sim,Sim,Um ano,Sim,Transferência Bancária,116.3,8309.55,3.8766666666666665
0187-QSXOE,Não,Homem,Sim,Sim,Não,7,Sim,Não,Fibra óptica,Não,Não,Não,Não,Sim,Sim,Mês a mês,Sim,Eletrônico,89.0,605.45,2.966666666666667
0187-WZNAB,Não,Mulher,Não,Sim,Sim,27,Sim,Não,Fibra óptica,Sim,Não,Não,Não,Não,Não,Mês a mês,Não,Correspondência,74.4,1972.35,2.48
0188-GWFLE,Não,Homem,Não,Não,Não,2,Sim,Não,Não,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Mês a mês,Não,Correspondência,20.05,33.7,0.6683333333333333
0191-EQUUH,Não,Mulher,Não,Não,Sim,25,Não,Sem serviço,DSL,Sim,Não,Não,Sim,Não,Não,Dois anos,Não,Transferência Bancária,35.05,844.45,1.1683333333333332
0191-ZHSKZ,Não,Homem,Sim,Não,Não,30,Sim,Não,DSL,Sim,Sim,Não,Não,Sim,Sim,Mês a mês,Sim,Eletrônico,74.75,2111.3,2.4916666666666667
0193-ESZXP,Sim,Mulher,Sim,Sim,Não,58,Sim,Não,Fibra óptica,Sim,Sim,Não,Sim,Sim,Sim,Um ano,Sim,Cartão de Crédito,105.5,6205.5,3.5166666666666666
0195-IESCP,Sim,Homem,Não,Sim,Não,10,Sim,Sim,Fibra óptica,Não,Não,Não,Não,Não,Sim,Mês a mês,Sim,Eletrônico,85.25,855.3,2.841666666666667
0196-JTUQI,Não,Mulher,Não,Não,Não,9,Sim,Sim,Fibra óptica,Não,Não,Não,Não,Não,Não,Mês a mês,Sim,Cartão de Crédito,75.2,633.85,2.506666666666667
0196-VULGZ,Sim,Mulher,Sim,Sim,Não,6,Sim,Sim,Fibra óptica,Não,Não,Não,Não,Não,Sim,Mês a mês,Sim,Eletrônico,84.35,474.9,2.8116666666666665
0197-PNKNK,Não,Mulher,Não,Sim,Sim,69,Sim,Sim,Fibra óptica,Sim,Não,Sim,Não,Não,Não,Um ano,Não,Transferência Bancária,84.45,5848.6,2.815
0201-MIBOL,Não,Mulher,Sim,Não,Não,66,Sim,Sim,Fibra óptica,Sim,Não,Não,Não,Sim,Sim,Dois anos,Sim,Transferência Bancária,102.4,6471.85,3.4133333333333336
0201-OAMXR,Sim,Mulher,Não,Não,Não,70,Sim,Sim,Fibra óptica,Sim,Sim,Sim,Sim,Sim,Sim,Um ano,Não,Cartão de Crédito,115.55,8127.6,3.8516666666666666
0203-HHYIJ,Sim,Homem,Não,Não,Não,25,Sim,Sim,Não,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Um ano,Não,Transferência Bancária,25.3,676.35,0.8433333333333334
0206-OYVOC,Não,Mulher,Não,Sim,Sim,46,Sim,Não,Não,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Dois anos,Sim,Correspondência,19.25,864.2,0.6416666666666667
0206-TBWLC,Não,Mulher,Não,Sim,Não,54,Sim,Sim,Fibra óptica,Sim,Sim,Sim,Sim,Sim,Sim,Um ano,Sim,Correspondência,114.65,6049.5,3.8216666666666668
0207-MDKNV,Sim,Mulher,Não,Não,Não,15,Sim,Não,Fibra óptica,Sim,Não,Sim,Sim,Sim,Sim,Mês a mês,Não,Eletrônico,105.1,1582.75,3.503333333333333
0208-BPQEJ,Não,Mulher,Não,Sim,Sim,12,Sim,Não,Não,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Mês a mês,Não,Transferência Bancária,19.4,198.1,0.6466666666666666
0212-ISBBF,Não,Mulher,Não,Não,Não,22,Não,Sem serviço,DSL,Não,Sim,Não,Não,Sim,Sim,Mês a mês,Sim,Eletrônico,50.35,1098.85,1.6783333333333335
0214-JHPFW,Não,Mulher,Não,Sim,Não,70,Não,Sem serviço,DSL,Não,Sim,Sim,Sim,Sim,Sim,Dois anos,Não,Transferência Bancária,57.8,4039.3,1.9266666666666665
0215-BQKGS,Não,Homem,Não,Não,Não,30,Sim,Não,Fibra óptica,Sim,Sim,Sim,Não,Não,Não,Mês a mês,Sim,Cartão de Crédito,84.3,2438.6,2.81
0218-QNVAS,Não,Homem,Não,Sim,Sim,71,Sim,Sim,Fibra óptica,Não,Sim,Não,Não,Sim,Sim,Um ano,Não,Transferência Bancária,100.55,7113.75,3.3516666666666666
0219-QAERP,Não,Homem,Não,Sim,Não,30,Sim,Não,Não,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Um ano,Não,Cartão de Crédito,19.8,576.65,0.66
0219-YTZUE,Sim,Homem,Não,Sim,Sim,4,Sim,Sim,Fibra óptica,Não,Sim,Sim,Não,Não,Não,Mês a mês,Sim,Transferência Bancária,84.8,371.9,2.8266666666666667
0220-EBGCE,Sim,Homem,Não,Não,Não,2,Sim,Não,Fibra óptica,Não,Não,Sim,Não,Não,Sim,Mês a mês,Sim,Eletrônico,85.85,167.3,2.8616666666666664
0221-NAUXK,Não,Homem,Não,Não,Sim,10,Sim,Não,Não,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Um ano,Sim,Transferência Bancária,19.95,219.5,0.6649999999999999
0221-WMXNQ,Não,Homem,Sim,Não,Não,4,Sim,Não,Fibra óptica,Sim,Não,Não,Não,Não,Não,Mês a mês,Não,Eletrônico,75.35,273.4,2.5116666666666663
0222-CNVPT,Não,Homem,Sim,Não,Não,52,Não,Sem serviço,DSL,Sim,Não,Não,Não,Sim,Sim,Mês a mês,Sim,Cartão de Crédito,48.8,2555.05,1.6266666666666665
0224-HJAPT,Sim,Homem,Não,Não,Não,5,Sim,Sim,DSL,Não,Não,Não,Não,Não,Não,Mês a mês,Não,Eletrônico,47.15,223.15,1.5716666666666665
0224-NIJLP,Não,Homem,Não,Sim,Sim,8,Sim,Não,Não,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Sem serviço,Dois anos,Não,Correspondência,20.15,165.5,0.6716666666666666
0224-RLWWD,Não,Mulher,Sim,Não,Não,2,Sim,Não,DSL,Não,Não,Não,Não,Não,Não,Mês a mês,Sim,Eletrônico,44.3,89.3,1.4766666666666666
